                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5785,                 3.7615,                    2.9,                 0.2287,                0.14542,                0.11571,                0.04824,                 2.0883,                 2.9623,                 2.3709,             0.00066652,             0.00066652,             0.00066652
                      2,                  1.939,                 2.8334,                  2.184,                0.33403,                0.27828,                0.23204,                0.11085,                   1.75,                 2.4573,                  2.009,             0.00089324,             0.00089324,             0.00089324
                      3,                 1.7272,                 2.4829,                 1.9864,                0.42034,                0.33624,                0.31507,                0.17615,                 1.5641,                 2.1996,                 1.8608,             0.00067995,             0.00067995,             0.00067995
