                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1556,                 1.2257,                 1.3179,                 0.5776,                0.45524,                0.46799,                0.28411,                 1.3735,                 1.7335,                 1.5355,               0.003268,               0.003268,               0.003268
                     36,                  1.145,                 1.2035,                 1.3077,                 0.5811,                0.45704,                0.46848,                0.28535,                 1.3739,                  1.735,                 1.5305,                0.00307,                0.00307,                0.00307
                     37,                 1.1408,                 1.1945,                 1.3005,                0.58045,                 0.4573,                0.46817,                0.28564,                 1.3751,                 1.7372,                 1.5267,               0.002872,               0.002872,               0.002872
                     38,                 1.1206,                 1.1703,                 1.2889,                0.58027,                0.45807,                0.46756,                0.28587,                 1.3744,                 1.7421,                 1.5225,               0.002674,               0.002674,               0.002674
                     39,                 1.1126,                 1.1508,                 1.2804,                0.58171,                0.45961,                0.46704,                0.28559,                 1.3745,                 1.7496,                 1.5188,               0.002476,               0.002476,               0.002476
                     40,                 1.1059,                 1.1392,                 1.2731,                0.59191,                0.45473,                0.46779,                0.28558,                 1.3759,                 1.7544,                  1.516,               0.002278,               0.002278,               0.002278
                     41,                 1.0199,                0.93783,                 1.2084,                0.59765,                0.45345,                0.46747,                0.28588,                  1.376,                 1.7596,                 1.5126,                0.00208,                0.00208,                0.00208
                     42,                0.99853,                0.89705,                 1.1912,                0.59042,                0.45576,                0.46698,                0.28556,                 1.3751,                 1.7644,                 1.5081,               0.001882,               0.001882,               0.001882
                     43,                 0.9808,                0.86867,                 1.1761,                0.58834,                0.45855,                0.46637,                0.28545,                 1.3738,                   1.77,                 1.5043,               0.001684,               0.001684,               0.001684
                     44,                 0.9683,                0.84484,                 1.1669,                0.58893,                0.45781,                0.46565,                0.28416,                 1.3753,                  1.777,                 1.5026,               0.001486,               0.001486,               0.001486
                     45,                0.95052,                0.81814,                 1.1507,                 0.5857,                0.45576,                0.46382,                0.28324,                 1.3775,                 1.7838,                 1.5012,               0.001288,               0.001288,               0.001288
                     46,                0.93556,                0.79304,                 1.1379,                0.58051,                0.46217,                0.46181,                0.28182,                 1.3799,                  1.792,                 1.5002,                0.00109,                0.00109,                0.00109
                     47,                0.92226,                0.76859,                  1.128,                0.57941,                 0.4614,                0.46036,                0.28091,                 1.3821,                 1.7976,                 1.4992,               0.000892,               0.000892,               0.000892
                     48,                0.90712,                0.74811,                 1.1183,                0.57807,                0.46383,                0.45768,                0.27896,                 1.3853,                 1.8033,                 1.4994,               0.000694,               0.000694,               0.000694
                     49,                0.89638,                0.72658,                 1.1111,                 0.5784,                0.45961,                0.45526,                0.27719,                 1.3882,                 1.8105,                 1.4992,               0.000496,               0.000496,               0.000496
                     50,                0.88127,                0.70723,                    1.1,                0.57228,                0.45832,                0.45319,                0.27571,                 1.3928,                  1.818,                 1.5011,               0.000298,               0.000298,               0.000298
