                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.196,                  1.392,                 1.4378,                0.55238,                0.47499,                0.47819,                0.30801,                 1.2581,                 1.7334,                 1.5438,               0.007756,               0.007756,               0.007756
                     36,                 1.1916,                  1.373,                 1.4326,                 0.5499,                0.47565,                0.47741,                0.30728,                 1.2579,                 1.7343,                 1.5393,                0.00769,                0.00769,                0.00769
                     37,                 1.1864,                 1.3763,                 1.4271,                0.54716,                0.47935,                0.47782,                0.30867,                  1.258,                 1.7336,                 1.5357,               0.007624,               0.007624,               0.007624
                     38,                 1.1765,                 1.3607,                 1.4176,                0.54306,                0.48628,                0.47917,                0.30863,                 1.2586,                 1.7315,                 1.5326,               0.007558,               0.007558,               0.007558
                     39,                 1.1763,                 1.3555,                 1.4108,                0.54508,                0.48269,                0.47889,                0.30853,                 1.2616,                 1.7314,                 1.5315,               0.007492,               0.007492,               0.007492
                     40,                 1.1718,                 1.3496,                  1.401,                 0.5566,                0.47243,                0.47777,                0.30689,                 1.2641,                 1.7335,                 1.5303,               0.007426,               0.007426,               0.007426
                     41,                 1.1693,                  1.338,                 1.4016,                 0.5491,                0.47757,                  0.477,                 0.3062,                  1.266,                 1.7356,                 1.5279,                0.00736,                0.00736,                0.00736
                     42,                 1.1647,                   1.33,                 1.3935,                0.54555,                0.47785,                0.47718,                0.30545,                 1.2695,                 1.7376,                 1.5275,               0.007294,               0.007294,               0.007294
                     43,                 1.1601,                 1.3164,                 1.3859,                0.53886,                0.48397,                0.47602,                0.30548,                  1.271,                 1.7383,                 1.5257,               0.007228,               0.007228,               0.007228
                     44,                 1.1527,                 1.3041,                 1.3788,                0.54526,                0.48064,                0.47602,                 0.3053,                 1.2726,                 1.7421,                 1.5237,               0.007162,               0.007162,               0.007162
                     45,                 1.1493,                 1.2984,                 1.3705,                0.54618,                0.48089,                0.47648,                 0.3045,                 1.2733,                  1.742,                 1.5214,               0.007096,               0.007096,               0.007096
                     46,                 1.1481,                  1.297,                 1.3672,                0.55572,                0.47705,                0.47563,                0.30431,                 1.2733,                  1.742,                 1.5196,                0.00703,                0.00703,                0.00703
